,label,x,y,order
0,d1,10.0,10.0,0
1,c55,4.59,5.14,1
2,c35,5.1,3.02,2
3,c21,9.52,-0.45,3
4,c4,7.53,-6.28,4
5,c60,7.29,-7.13,5
6,c44,2.86,-3.32,6
7,c30,2.8,-1.86,7
8,c36,-0.92,-4.84,8
9,c24,-1.37,-5.1,9
10,c8,-1.8,-7.84,10
11,c54,-4.84,-3.49,12
12,c53,-5.22,-2.0,13
13,c23,-2.87,-1.24,14
14,c1,-5.21,-0.36,15
15,c57,-6.5,4.22,16
16,c42,-8.46,6.79,17
17,c38,-5.85,5.33,18
18,c16,-5.74,5.79,19
19,c13,-4.59,5.66,20
20,c12,-2.94,2.94,21
21,c29,-1.07,3.24,22
22,c47,1.22,7.29,23
23,c40,1.91,7.51,24
24,c11,3.09,6.42,25
25,d1,10.0,10.0,26
