"","round.20...runif.n_c....10..2."
"c1",-0.36
"c2",1.99
"c3",-0.13
"c4",-6.28
"c5",6.55
"c6",3.37
"c7",5.88
"c8",-7.84
"c9",4.47
"c10",-1.77
"c11",6.42
"c12",2.94
"c13",5.66
"c14",1.06
"c15",0.59
"c16",5.79
"c17",-9.53
"c18",-0.46
"c19",4.65
"c20",3.85
"c21",-0.45
"c22",7.22
"c23",-1.24
"c24",-5.1
"c25",-8.59
"c26",-8.01
"c27",-3.67
"c28",0.37
"c29",3.24
"c30",-1.86
"c31",8.26
"c32",-4.13
"c33",-0.82
"c34",-3.35
"c35",3.02
"c36",-4.84
"c37",-0.43
"c38",5.33
"c39",-8.32
"c40",7.51
"c41",-3.22
"c42",6.79
"c43",-3.07
"c44",-3.32
"c45",-0.47
"c46",7.84
"c47",7.29
"c48",-2.2
"c49",5.55
"c50",9.21
"c51",-1.31
"c52",4.25
"c53",-2
"c54",-3.49
"c55",5.14
"c56",-5.95
"c57",4.22
"c58",-7.57
"c59",-5.09
"c60",-7.13
