"","x"
"c1","-10"
"c2","-10"
"c3","-10"
"c4","-10"
"c5","-9"
"c6","-8"
"c7","-8"
"c8","-7"
"c9","-7"
"c10","-7"
"c11","-7"
"c12","-7"
"c13","-6"
"c14","-5"
"c15","-4"
"c16","-3"
"c17","-3"
"c18","-3"
"c19","-2"
"c20","-2"
"c21","-2"
"c22","-2"
"c23","-2"
"c24","-2"
"c25","-2"
"c26","-1"
"c27","-1"
"c28","0"
"c29","0"
"c30","0"
"c31","0"
"c32","0"
"c33","0"
"c34","1"
"c35","1"
"c36","1"
"c37","2"
"c38","3"
"c39","4"
"c40","4"
"c41","5"
"c42","5"
"c43","6"
"c44","7"
"c45","7"
"c46","7"
"c47","7"
"c48","7"
"c49","8"
"c50","8"
"c51","8"
"c52","9"
"c53","9"
"c54","9"
"c55","9"
"c56","10"
"c57","10"
"c58","10"
"c59","10"
"c60","10"
